objectid,wd17cd,wd17nm,wd17nmw,bng_e,bng_n,longitude,lat,st_areashape,st_lengthshape
1731,E05002244,Stifford Clays, ,561530,180787,0.325955,51.50292969,0.00037426059600533,0.100336539573976
1732,E05002245,The Homesteads, ,569405,184198,0.44095001,51.53126907,0.00027957997512814,0.0925906055027669
1733,E05002246,Tilbury Riverside and Thurrock Park, ,563106,176448,0.346641,51.46350098,0.000976362488259159,0.231086090471182
1734,E05002247,Tilbury St Chads, ,564817,177201,0.3716,51.46976852,0.000500084135712246,0.13398486520674
1735,E05002248,West Thurrock and South Stifford, ,557142,178077,0.261581,51.47982025,0.00136822446319216,0.221652915687253
1736,E05002249,Chatham Central, ,575757,166703,0.52374703,51.37218094,0.000274869684716614,0.0857696878072232
1737,E05002250,Cuxton and Halling, ,569684,165875,0.436187,51.36658859,0.00195432939546957,0.252846981741425
1738,E05002251,Gillingham North, ,578134,168869,0.55894601,51.39088821,0.000376138955933755,0.130730967672806
1739,E05002252,Gillingham South, ,577208,167776,0.54510599,51.38137054,0.000250889082315052,0.0960510037804238
1740,E05002253,Hempstead and Wigmore, ,579178,164312,0.57164001,51.34962845,0.000530382088934664,0.136927207795978
1741,E05002254,Lordswood and Capstone, ,577836,164070,0.55226898,51.34788132,0.000723192071490817,0.126104519998949
1742,E05002255,Luton and Wayfield, ,576774,166434,0.53820902,51.36944962,0.000354822010055457,0.117818769250658
1743,E05002256,Peninsula, ,579654,175247,0.58399898,51.44770813,0.00973241965490933,1.04103007588117
1744,E05002257,Princes Park, ,576678,164511,0.53587699,51.35219955,0.000257973263200342,0.100590705461644
1745,E05002258,Rainham Central, ,580575,165340,0.59219998,51.35842133,0.000428460045215085,0.105029501233796
1746,E05002259,Rainham North, ,581705,167328,0.60942799,51.37591934,0.000910141164119052,0.388968687360688
1747,E05002260,Rainham South, ,581641,164143,0.60688299,51.34732819,0.0007259086230866,0.142771683785028
1748,E05002261,River, ,575996,168589,0.52811098,51.3890419,0.000629983304366716,0.203919535362398
1749,E05002262,Rochester East, ,574447,167084,0.50513297,51.37599945,0.000179044261321531,0.0622545632737893
1750,E05002263,Rochester South and Horsted, ,574870,165182,0.51027,51.35879135,0.000491647280423158,0.122655527635685
1751,E05002264,Rochester West, ,572902,166636,0.48273799,51.37245178,0.000779002917707005,0.17782612505162
1752,E05002265,Strood North, ,573177,169859,0.48825499,51.40132141,0.000378839624768355,0.101786703340366
1753,E05002266,Strood Rural, ,573905,174773,0.50111997,51.44524002,0.00457241946837006,0.489360750500276
1754,E05002267,Strood South, ,572330,168338,0.475353,51.38790894,0.000500841970532085,0.127389677037342
1755,E05002268,Twydall, ,579711,167201,0.58074403,51.37540817,0.000382347761206909,0.0931582251239414
1756,E05002269,Walderslade, ,575929,163427,0.52459699,51.34270096,0.000248581347495762,0.0921553116353182
1757,E05002270,Watling, ,578166,166764,0.55835098,51.37197876,0.000322080265777904,0.097294259709718
1758,E05002271,Ascot, ,490476,167563,-0.70077997,51.3998909,0.002189544964772,0.262316818843067
1759,E05002272,Binfield with Warfield, ,486079,171506,-0.76301003,51.4360199,0.00271312036927375,0.295880683346142
1760,E05002273,Bullbrook, ,488233,169580,-0.73250997,51.41836929,0.000216172841732753,0.09260972267985
1761,E05002274,Central Sandhurst, ,484277,161898,-0.79121,51.34991837,0.000293875793259854,0.106381652038781
1762,E05002275,College Town, ,485633,161279,-0.77188998,51.34415054,0.000523355814620585,0.118462503464191
1763,E05002276,Crown Wood, ,488111,167178,-0.73486,51.39680099,0.000177946186409608,0.0599002136507321
1764,E05002277,Crowthorne, ,486358,164727,-0.76064998,51.37503815,0.00154237710333718,0.245949421570803
1765,E05002278,Great Hollands North, ,484728,167921,-0.78329998,51.40399933,0.000396767253803967,0.12731355208606
1766,E05002279,Great Hollands South, ,484839,166617,-0.78201997,51.39226151,0.000331869970155375,0.0879616784018488
1767,E05002280,Hanworth, ,486903,166586,-0.75237,51.39167023,0.000222663763255798,0.0824967835060018
1768,E05002281,Harmans Water, ,488133,168276,-0.73426998,51.40666962,0.000259029867051263,0.0862506942799309
1769,E05002282,Little Sandhurst and Wellington, ,482506,162440,-0.81651002,51.35504913,0.000666904635874119,0.1332264543429
